Category,Description,Cholesterol,Sugar
TURKEY,"TURKEY,FRYER-ROASTERS,LEG,MEAT ONLY,CKD,RSTD",119,0
TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT&SKN,RAW",98,0
TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT&SKN,CKD,RSTD",115,0
TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,RAW",81,0
TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,CKD,RSTD",102,0
TURKEY,"TURKEY,YOUNG HEN,MEAT&SKN&GIBLETS&NECK,RAW",73,0
TURKEY,"TURKEY,YOUNG HEN,MEAT&SKN&GIBLETS&NECK,CKD,RSTD",94,0
TURKEY,"TURKEY,YOUNG HEN,MEAT&SKN,RAW",63,0
TURKEY,"TURKEY,YOUNG HEN,MEAT&SKN,CKD,RSTD",78,0
TURKEY,"TURKEY,YOUNG HEN,MEAT ONLY,RAW",60,0
TURKEY,"TURKEY,YOUNG HEN,MEAT ONLY,CKD,RSTD",73,0
TURKEY,"TURKEY,YOUNG HEN,SKN ONLY,RAW",81,0
TURKEY,"TURKEY,YOUNG HEN,SKN ONLY,CKD,RSTD",106,0
TURKEY,"TURKEY,YOUNG HEN,LT MEAT,MEAT&SKN,RAW",62,0
TURKEY,"TURKEY,YOUNG HEN,LT MEAT,MEAT&SKN,CKD,RSTD",74,0
TURKEY,"TURKEY,YOUNG HEN,DK MEAT,MEAT&SKN,RAW",65,0
TURKEY,"TURKEY,YOUNG HEN,DK MEAT,MEAT&SKN,CKD,RSTD",84,0
TURKEY,"TURKEY,YOUNG HEN,LT MEAT,MEAT ONLY,RAW",58,0
TURKEY,"TURKEY,YOUNG HEN,LT MEAT,MEAT ONLY,CKD,RSTD",68,0
TURKEY,"TURKEY,YOUNG HEN,DK MEAT,MEAT ONLY,RAW",62,0
TURKEY,"TURKEY,YOUNG HEN,DK MEAT,MEAT ONLY,CKD,RSTD",80,0
TURKEY,"TURKEY,YOUNG HEN,BACK,MEAT&SKN,RAW",68,0
TURKEY,"TURKEY,YOUNG HEN,BACK,MEAT&SKN,CKD,RSTD",85,0
TURKEY,"TURKEY,YOUNG HEN,BREAST,MEAT&SKN,RAW",62,0
TURKEY,"TURKEY,YOUNG HEN,BREAST,MEAT&SKN,CKD,RSTD",72,0
TURKEY,"TURKEY,YOUNG HEN,LEG,MEAT&SKN,RAW",63,0
TURKEY,"TURKEY,YOUNG HEN,LEG,MEAT&SKN,CKD,RSTD",82,0
TURKEY,"TURKEY,YOUNG HEN,WING,MEAT&SKN,RAW",65,0
TURKEY,"TURKEY,YOUNG HEN,WING,MEAT&SKN,CKD,RSTD",77,0
TURKEY,"TURKEY,YOUNG TOM,MEAT&SKN&GIBLETS&NECK,RAW",81,0
TURKEY,"TURKEY,YOUNG TOM,MEAT&SKN&GIBLETS&NECK,CKD,RSTD",96,0
TURKEY,"TURKEY,YOUNG TOM,MEAT&SKN,RAW",72,0
TURKEY,"TURKEY,YOUNG TOM,MEAT&SKN,CKD,RSTD",82,0
TURKEY,"TURKEY,YOUNG TOM,MEAT ONLY,RAW",68,0
TURKEY,"TURKEY,YOUNG TOM,MEAT ONLY,CKD,RSTD",77,0
TURKEY,"TURKEY,YOUNG TOM,SKN ONLY,RAW",95,0
TURKEY,"TURKEY,YOUNG TOM,SKN ONLY,CKD,RSTD",117,0
TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT&SKN,RAW",67,0
TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT&SKN,CKD,RSTD",75,0
TURKEY,"TURKEY,YOUNG TOM,DK MEAT,MEAT&SKN,RAW",77,0
TURKEY,"TURKEY,YOUNG TOM,DK MEAT,MEAT&SKN,CKD,RSTD",91,0
TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,RAW",62,0
TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,CKD,RSTD",69,0
TURKEY,"TURKEY,YOUNG TOM,DK MEAT,MEAT ONLY,RAW",75,0
TURKEY,"TURKEY,YOUNG TOM,DK MEAT,MEAT ONLY,CKD,RSTD",88,0
TURKEY,"TURKEY,YOUNG TOM,BACK,MEAT&SKN,RAW",79,0
TURKEY,"TURKEY,YOUNG TOM,BACK,MEAT&SKN,CKD,RSTD",94,0
TURKEY,"TURKEY,YOUNG TOM,BREAST,MEAT&SKN,RAW",67,0
TURKEY,"TURKEY,YOUNG TOM,BREAST,MEAT&SKN,CKD,RSTD",75,0
TURKEY,"TURKEY,YOUNG TOM,LEG,MEAT&SKN,RAW",76,0
TURKEY,"TURKEY,YOUNG TOM,LEG,MEAT&SKN,CKD,RSTD",90,0
TURKEY,"TURKEY,YOUNG TOM,WING,MEAT&SKN,RAW",72,0
TURKEY,"TURKEY,YOUNG TOM,WING,MEAT&SKN,CKD,RSTD",81,0
CHICKEN,"CHICKEN,CND,MEAT ONLY,W/BROTH",62,0
PATE DE FOIE GRAS,"PATE DE FOIE GRAS,CND (GOOSE LIVER PATE),SMOKED",150,0
TURKEY,"TURKEY,CND,MEAT ONLY,W/BROTH",66,0
TURKEY,"TURKEY,DICED,LT&DK MEAT,SEASONED",55,0
TURKEY AND GRAVY,"TURKEY AND GRAVY,FROZEN",18,0
TURKEY PATTIES,"TURKEY PATTIES,BREADED,BATTERED,FRIED",75,0.319999993
TURKEY BREAST,"TURKEY BREAST,PRE-BASTED,MEAT&SKN,CKD,RSTD",42,0
TURKEY THIGH,"TURKEY THIGH,PRE-BASTED,MEAT&SKN,CKD,RSTD",62,0
TURKEY RST,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW",53,0
TURKEY RST,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RSTD",53,0
TURKEY STKS,"TURKEY STKS,BREADED,BATTERED,FRIED",64,0
POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW",130,0
POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW",104,0
POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW",143,0
TURKEY,"TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW",95,0
POULTRY FD PRODUCTS,"POULTRY FD PRODUCTS,GROUND TURKEY,RAW",79,0
POULTRY FD PRODUCTS,"POULTRY FD PRODUCTS,GROUND TURKEY,CKD",102,0
CHICKEN,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,RAW",101,0
CHICKEN,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD",131,0
CHICKEN,"CHICKEN,CORNISH GAME HENS,MEAT ONLY,RAW",91,0
CHICKEN,"CHICKEN,CORNISH GAME HENS,MEAT ONLY,CKD,RSTD",106,0
CHICKEN,"CHICKEN,CANNED,NO BROTH",50,0
CHICKEN,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV",126,2.039999962
CHICKEN,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",156,2.099999905
DUCK,"DUCK,YNG DUCKLING,DOM,WH PEKIN,BRST,MEAT&SKN,BNLESS,CKD,RSTD",136,0
DUCK,"DUCK,YNG DUCKL,DOM,WH PEKIN,BRST,MEAT,BNLESS,CKD WO/SKN,BRLD",143,0
DUCK,"DUCK,YNG DUCKLING,DOM,WH PEKIN,LEG,MEAT&SKN,BONE IN,CKD,RSTD",114,0
DUCK,"DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD",105,0
CHICKEN,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",136,1.940000057
CHICKEN NUGGETS,"CHICKEN NUGGETS,FRZ,CKD",43,0
CHICKEN NUGGETS,"CHICKEN NUGGETS,FRZ,UNCKD",36,0
CHICKEN PATTY,"CHICKEN PATTY,FRZ,UNCKD",45,0
CHICKEN PATTY,"CHICKEN PATTY,FRZ,CKD",43,0
CHICKEN BREAST TENDERS,"CHICKEN BREAST TENDERS,CKD,CONVENTIONAL OVEN",44,0.409999996
CHICKEN BREAST TENDERS,"CHICKEN BREAST TENDERS,CKD,MICROWAVED",45,0
CHICKEN BREAST TENDERS,"CHICKEN BREAST TENDERS,UNCKD",41,0.370000005
CHICKEN,"CHICKEN,GROUND,RAW",86,0
CHICKEN,"CHICKEN,GROUND,CRUMBLES,CKD,PAN-BROWNED",107,0
CHICK,"CHICK,FEET,BOILED",84,0
USDA CMDTY CHICK,"USDA CMDTY CHICK,CND,MEAT ONLY,DRND",83,0
USDA CMDTY,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O",67,0
USDA CMDTY,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ BROTH",67,0.029999999
CHICKEN,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,ROTISSERIE,ORI",123,0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,ROTISSERIE,O",89,0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,ROTISSERIE,",160,0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL",141,0.109999999
CHICKEN,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR",130,0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,ROTISSERIE,ORI",140,0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR",128,0.029999999
CHICKEN,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT & SKN,CKD,ROTISSERIE,",96,0.02
CHICKEN,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE",156,0.02
CHICKEN,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",132,0.02
CHICKEN,"CHICKEN,BROILERS OR FRYERS,WING,MEAT & SKN,CKD,ROTISSERIE,OR",140,0.039999999
USDA CMDTY,"USDA CMDTY,CHICK FAJITA STRIPS,FRZ",88,0
USDA CMDTY,"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD",71,0
USDA COMMODITY,"USDA COMMODITY,TURKEY HAM,DK MEAT,SMOKED,FRZ",64,1.200000048
EMU,"EMU,GROUND,RAW",69,0
EMU,"EMU,GROUND,CKD,PAN-BROILED",87,0
EMU,"EMU,FAN FILLET,RAW",71,0
EMU,"EMU,FAN FILLET,CKD,BRLD",82,0
EMU,"EMU,FLAT FILLET,RAW",71,0
EMU,"EMU,FULL RUMP,RAW",85,0
EMU,"EMU,FULL RUMP,CKD,BRLD",129,0
EMU,"EMU,INSIDE DRUM,RAW",67,0
EMU,"EMU,INSIDE DRUMS,CKD,BRLD",91,0
EMU,"EMU,OUTSIDE DRUM,RAW",78,0
EMU,"EMU,OYSTER,RAW",81,0
EMU,"EMU,TOP LOIN,CKD,BRLD",88,0
OSTRICH,"OSTRICH,GROUND,RAW",71,0
OSTRICH,"OSTRICH,GROUND,CKD,PAN-BROILED",83,0
OSTRICH,"OSTRICH,FAN,RAW",73,0
OSTRICH,"OSTRICH,INSIDE LEG,RAW",66,0
OSTRICH,"OSTRICH,INSIDE LEG,CKD",73,0
OSTRICH,"OSTRICH,INSIDE STRIP,RAW",73,0
OSTRICH,"OSTRICH,INSIDE STRIP,CKD",97,0
OSTRICH,"OSTRICH,OUTSIDE LEG,RAW",65,0
OSTRICH,"OSTRICH,OUTSIDE STRIP,RAW",79,0
OSTRICH,"OSTRICH,OUTSIDE STRIP,CKD",93,0
OSTRICH,"OSTRICH,OYSTER,RAW",73,0
OSTRICH,"OSTRICH,OYSTER,CKD",90,0
OSTRICH,"OSTRICH,RND,RAW",71,0
OSTRICH,"OSTRICH,TENDERLOIN,RAW",80,0
OSTRICH,"OSTRICH,TIP RAW",72,0
OSTRICH,"OSTRICH,TIP CKD",85,0
OSTRICH,"OSTRICH,TOP LOIN,RAW",75,0
OSTRICH,"OSTRICH,TOP LOIN,CKD",93,0
CHICKEN,"CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED",564,0
SOUP,"SOUP,CRM OF ASPARAGUS,CND,COND",4,0.720000029
SOUP,"SOUP,BLACK BEAN,CND,COND",0,2.49000001
CAMPBELL,"CAMPBELL,CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND",4,0.790000021
SOUP,"SOUP,BEAN W/ PORK,CND,COND",2,3
SOUP,"SOUP,BEAN W/ FRANKFURTERS,CND,COND",9,0
SOUP,"SOUP,BEAN W/ HAM,CND,CHUNKY,RTS",9,0
SOUP,"SOUP,BF BROTH OR BOUILLON CND,RTS",0,0
SOUP,"SOUP,BF NOODLE,CND,COND",4,2.059999943
SOUP,"SOUP,CRM OF CELERY,CND,COND",11,1.350000024
SOUP,"SOUP,CHS,CND,COND",23,0.600000024
SOUP,"SOUP,CHICK W/ DUMPLINGS,CND,COND",27,0.460000008
SOUP,"SOUP,CHICK BROTH,CND,COND",1,0.349999994
CAMPBELL SOUP,"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND",4,1.610000014
SOUP,"SOUP,CHICK,CND,CHUNKY,RTS",12,0.870000005
SOUP,"SOUP,CRM OF CHICK,CND,COND",8,0.540000021
SOUP,"SOUP,CHICK GUMBO,CND,COND",3,1.929999948
SOUP,"SOUP,CHUNKY CHICK NOODLE,CND,RTS",5,0.75
SOUP,"SOUP,CHICK NOODLE,CND,COND",11,0.540000021
SOUP,"SOUP,CHICK RICE,CND,CHUNKY,RTS",5,0.600000024
SOUP,"SOUP,CHICK W/ RICE,CND,COND",5,0.159999996
SOUP,"SOUP,CHICK VEG,CHUNKY,CND,RTS",7,0
SOUP,"SOUP,CHICK VEG,CND,COND",7,1.25999999
SOUP,"SOUP,CHILI BF,CND,COND",10,5.090000153
SOUP,"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS",6,1.669999957
SOUP,"SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",2,2.700000048
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK W/ RICE,COND",4,0.790000021
SOUP,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND",6,0.379999995
SOUP,"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND",0,0
SOUP,"SOUP,CRAB,CND,RTS",4,0
SOUP,"SOUP,ESCAROLE,CND,RTS",1,0
SOUP,"SOUP,GAZPACHO,CND,RTS",0,0.589999974
SOUP,"SOUP,LENTIL W/HAM,CND,RTS",3,0
CAMPBELL COMPANY,"CAMPBELL COMPANY,CAMPBELL'S RED&WHITE,CHEDDAR CHS SOUP,COND",4,1.610000014
SOUP,"SOUP,MINESTRONE,CND,CHUNKY,RTS",2,2.170000076
SOUP,"SOUP,MINESTRONE,CND,COND",1,1.5
CAMPBELL,"CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",8,0.790000021
SOUP,"SOUP,MUSHROOM BARLEY,CND,COND",0,0
SOUP,"SOUP,CRM OF MUSHROOM,CND,COND",0,1.460000038
SOUP,"SOUP,MUSHROOM W/ BF STOCK,CND,COND",6,2.279999971
SOUP,"SOUP,ONION,CND,COND",0,2.720000029
SOUP,"SOUP,CRM OF ONION,CND,COND",12,3.640000105
CAMPBELL'S RED & WHITE,"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",4,0.790000021
SOUP,"SOUP,OYSTER STEW,CND,COND",11,0
SOUP,"SOUP,PEA,GRN,CND,COND",0,6.519999981
SOUP,"SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS",3,1.909999967
SOUP,"SOUP,PEA,SPLIT W/ HAM,CND,COND",6,0
SOUP,"SOUP,PEPPERPOT,CND,COND",8,0
SOUP,"SOUP,CRM OF POTATO,CND,COND",5,1.690000057
CAMPBELL'S RED & WHITE,"CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND",8,1.590000033
SOUP,"SOUP,SCOTCH BROTH,CND,COND",4,0
SOUP,"SOUP,CRM OF SHRIMP,CND,COND",13,0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S RED&WHITE,CHICK BROTH,COND",4,0.810000002
CAMPBELL SOUP,"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND",4,1.590000033
SOUP,"SOUP,STOCKPOT,CND,COND",3,0
SOUP,"SOUP,TOMATO BF W/ NOODLE,CND,COND",3,0
CAMPBELL'S RED & WHITE,"CAMPBELL'S RED & WHITE,CHICK NOODLE SOUP,COND",12,0.790000021
SOUP,"SOUP,TOMATO RICE,CND,COND",1,5.900000095
SOUP,"SOUP,TURKEY,CHUNKY,CND,RTS",4,0
SOUP,"SOUP,TURKEY NOODLE,CND,COND",4,0.409999996
SOUP,"SOUP,TURKEY VEG,CND,COND",1,1.090000033
SOUP,"SOUP,CHUNKY VEG,CND,RTS",0,1.830000043
SOUP,"SOUP,VEGETARIAN VEG,CND,COND",0,3.130000114
SOUP,"SOUP,PEA,GRN,CND,COND,PREP W/ EQ VOLUME H2O",0,3.190000057
SOUP,"SOUP,CHUNKY BF,CND,RTS",6,0.670000017
SOUP,"SOUP,VEG BF,CND,COND",4,0.889999986
SOUP,"SOUP,VEG W/ BF BROTH,CND,COND",1,1.639999986
SOUP,"SOUP,BF BROTH OR BOUILLON,PDR,DRY",10,16.70999908
SOUP,"SOUP,BEEF BROTH,CUBED,DRY",4,14.51000023
SOUP,"SOUP,BF NOODLE,DRY,MIX",13,5.099999905
SOUP,"SOUP,CHICK BROTH OR BOUILLON,DRY",13,17.36000061
SOUP,"SOUP,CHICK BROTH CUBES,DRY",13,0
CAMPBELL'S RED & WHITE,"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND",8,1.590000033
CAMPBELL COMPANY,"CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND",4,2.380000114
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,BF BROTH,COND",0,0.810000002
SOUP,"SOUP,ONION,DRY,MIX",0,4.650000095
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELLS RED & WHITE,BF CONSOMME,COND",0,0.810000002
SOUP,"SOUP,TOMATO VEG,DRY,MIX",3,3.769999981
SOUP,"SOUP,CRM OF VEG,DRY,PDR",2,17.51000023
SAUCE,"SAUCE,CHS,DRY,PDR",51,25.12999916
CAMPBELL'S RED & WHITE,"CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND",4,0.790000021
SAUCE,"SAUCE,TERIYAKI,RTS",0,14.10000038
GRAVY,"GRAVY,AU JUS,CANNED",0,0
GRAVY,"GRAVY,AU JUS,DRY",4,0
GRAVY,"GRAVY,BF,CND,RTS",3,0.209999993
CAMPBELL SOUP,"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND",4,3.130000114
GRAVY,"GRAVY,BROWN,DRY",3,0
GRAVY,"GRAVY,CHICK,CND,RTS",2,0.779999971
GRAVY,"GRAVY,CHICKEN,DRY",19,0
GRAVY,"GRAVY,MUSHROOM,CANNED",0,0
GRAVY,"GRAVY,MUSHROOM,DRY,PDR",3,3.25999999
GRAVY,"GRAVY,ONION,DRY,MIX",2,0
GRAVY,"GRAVY,PORK,DRY,PDR",10,24.72999954
GRAVY,"GRAVY,TURKEY,CND,RTS",2,0.209999993
GRAVY,"GRAVY,TURKEY,DRY",14,0
GRAVY,"GRAVY,UNSPEC TYPE,DRY",4,0
SOUP,"SOUP,CHICK NOODLE,DRY,MIX",74,1.899999976
SAUCE,"SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND",0,0
SAUCE,"SAUCE,SOFRITO,PREP FROM RECIPE",0,0
USDA COMMODITY,"USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CND",0,4.699999809
CAMPBELL COMPANY,"CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND",8,0.790000021
CAMPBELL,"CAMPBELL,CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND",8,1.590000033
SOUP,"SOUP,BF MUSHROOM,CND,COND",5,0
SOUP,"SOUP,CHICK MUSHROOM,CND,COND",8,1.309999943
SAUCE,"SAUCE,BARBECUE",0,26.05999947
SAUCE,"SAUCE,PLUM,READY-TO-SERVE",0,0
SAUCE,"SAUCE,PIZZA,CND,RTS",3,1.75
SOUP,"SOUP,TOMATO BISQUE,CND,COND",4,0
SOUP,"SOUP,TOMATO,CND,COND",0,8.109999657
SAUCE,"SAUCE,SALSA,RTS",0,3.059999943
SAUCE,"SAUCE,HOMEMADE,WHITE,THIN",8,4.769999981
SAUCE,"SAUCE,HOMEMADE,WHITE,MED",7,4.360000134
SAUCE,"SAUCE,HOMEMADE,WHITE,THICK",6,3.960000038
SAUCE,"SAUCE,RTS,PEPPER OR HOT",0,1.25999999
SAUCE,"SAUCE,RTS,PEPPER,TABASCO",0,0.129999995
SOUP,"SOUP,STOCK,BEEF,HOME-PREPARED",0,0.540000021
SOUP,"SOUP,STOCK,CHICK,HOME-PREPARED",3,1.580000043
SOUP,"SOUP,STOCK,FISH,HOME-PREPARED",1,0
SAUCE,"SAUCE,HOISIN,RTS",3,27.26000023
SAUCE,"SAUCE,OYSTER,RTS",0,0
SOUP,"SOUP,MINESTRONE,CND,RED NA,RTS",0,2.130000114
USDA COMMODITY,"USDA COMMODITY,SALSA",0,0
SAUCE,"SAUCE,FISH,READY-TO-SERVE",0,3.640000105
SOUP,"SOUP,SHARK FIN,REST-PREP",2,0
SOUP,"SOUP,CRM OF MUSHROOM,CND,COND,RED NA",3,2.130000114
SOUP,"SOUP,CHICK BROTH,CND,LESS/REDUCED NA",0,0.219999999
SAUCE,"SAUCE,TERIYAKI,RTS,RED NA",0,14.10000038
SOUP,"SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS",2,3.170000076
SPLIT PEA SOUP,"SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",2,5.059999943
SPLIT PEA W/ HAM SOUP,"SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",3,1.570000052
SOUP,"SOUP,CHICK BROTH,CND,RTS",0,0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CHICK SOUP,COND",4,1.610000014
SOUP,"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME MILK",9,0
SOUP,"SOUP,CHICK VEG W/POTATO&CHS,CHUNKY,RTS",7,0.639999986
CAMPBELL'S RED&WHITE,"CAMPBELL'S RED&WHITE,98% FAT FREE CRM OF BROCCOLI SOUP,COND",4,0.810000002
SOUP,"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME MILK",13,0
SOUP,"SOUP,CHS,CND,PREP W/ EQ VOLUME MILK",19,0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CHIC NOODL,COND",12,0.790000021
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA TOMATO SOUP,COND",0,9.680000305
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CRM OF MSHR,COND",4,0.810000002
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,RED&WHITE,98% FAT FR BRCCLI CHS,COND",4,1.590000033
SOUP,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK",11,0
SOUP,"SOUP,VEG,CND,LO NA,COND",0,4.309999943
CAMPBELL'S RED & WHITE,"CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CELERY SOUP,COND",4,0.810000002
CAMPBELL'S RED & WHITE,"CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CHICK SOUP,COND",8,0.810000002
CAMPBELL,"CAMPBELL,PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS",0,7.690000057
CAMPBELL,"CAMPBELL,PREGO PASTA,CHUNKY GARDEN MUSHROOM ITALIAN SAU,RTS",0,7.690000057
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,DICED ONION & GARLIC ITAL SAU,RTS",0,9.229999542
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PREGO PASTA,FLAV W/ MEAT ITAL SAU,RTS",4,9.229999542
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PREGO PASTA,FRSH MUSHROOM ITAL SAU,RTS",0,8.460000038
CAMPBELL SOUP,"CAMPBELL SOUP, PREGO PASTA,GARLIC SUPREME ITAL SAU,RTS",0,10
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,ITAL SAUSGE & GARLIC ITAL SAU,RTS",8,8
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,MINI MEATBALL ITAL SAU,RTS",8,9.229999542
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,MUSHRM & GRLIC ITAL SAU,RTS",0,10
SOUP,"SOUP,CLAM CHOWDER,NEW ENG,CND,PREP W/ EQ VLM LOFAT (2%) MILK",7,2.809999943
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,MUSHRM & PARMESAN ITALIAN SAU,RTS",4,10.39999962
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,ORGANIC MUSHROOM ITALIAN SAU,RTS",0,7.199999809
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,ORGNIC TOMATO & BASIL ITAL SAU,RTS",0,8.800000191
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,RICOTTA PARMESAN ITALIAN SAU,RTS",4,9.600000381
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS",0,8.460000038
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,RSTD GARLIC PARMESAN ITAL SAU,RTS",4,10
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,RSTD RED PEPPR & GRLC ITAL SAU,RTS",0,9.600000381
CAMPBELL SOUP,"CAMPBELL SOUP,PREGO PASTA,TOMATO,BASIL & GARLIC ITAL SAU,RTS",0,8.800000191
CAMPBEL COMPANY,"CAMPBEL COMPANY,PREGO PASTA,ZESTY MUSHROOM ITALIAN SAU,RTS",0,9.229999542
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CHNKY MICRO BOWLS,BF W/ CONTRY VEG,RTS",8,1.220000029
CAMPBELL'S CHUNKY MICROWAVABLE BWLS,"CAMPBELL'S CHUNKY MICROWAVABLE BWLS,CHCK DMPLINGS SOUP",10,0.819999993
SOUP,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",4,3.329999924
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CHNKY MICRO BOWLS,CLSSC CHIC NOODL,RTS",10,1.220000029
CAMPBELL SOUP COMP,"CAMPBELL SOUP COMP,CHNKY MICRO BOWL,GRLLD CHIC&SAUS GMBO,RTS",6,2.039999962
SOUP,"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME MILK",13,0
