Category,Description,Cholesterol,Sugar
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",18,52.18999863
MILK,"MILK,DRY,NONFAT,CA RED",2,0
MILK,"MILK,BUTTERMILK,DRIED",69,49
MILK,"MILK,CND,COND,SWTND",34,54.40000153
MILK,"MILK,CND,EVAP,WO/ VIT A",29,10.03999996
MILK,"MILK,CND,EVAP,NONFAT",4,11.35000038
MILK,"MILK,CHOC,FLUID,COMM,",12,9.539999962
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",8,9.550000191
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",3,9.93999958
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",8,9.670000076
MILK,"MILK,GOAT,FLUID",11,4.449999809
MILK,"MILK,HUMAN,MATURE,FLUID",14,6.889999866
MILK,"MILK,INDIAN BUFFALO,FLUID",19,0
MILK,"MILK,SHEEP,FLUID",27,0
MILK SHAKES,"MILK SHAKES,THICK CHOC",11,20.85000038
MILK SHAKES,"MILK SHAKES,THICK VANILLA",12,17.75
WHEY,"WHEY,ACID,FLUID",1,5.119999886
WHEY,"WHEY,ACID,DRIED",3,73.44999695
WHEY,"WHEY,SWEET,FLUID",2,5.139999866
WHEY,"WHEY,SWEET,DRIED",6,74.45999908
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",13,4.659999847
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",6,7.039999962
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",2,7.679999828
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",5,13.80000019
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",5,18.63999939
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",4,19.04999924
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",6,0
EGG,"EGG,WHOLE,RAW,FRESH",423,0.769999981
EGG,"EGG,WHITE,RAW,FRESH",0,0.709999979
EGG,"EGG,YOLK,RAW,FRSH",1234,0.560000002
EGG,"EGG,YOLK,RAW,FROZEN",1075,0.50999999
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",959,0
EGG,"EGG,WHL,CKD,FRIED",457,0.829999983
EGG,"EGG,WHL,CKD,HARD-BOILED",424,1.120000005
EGG,"EGG,WHOLE,COOKED,OMELET",356,0.649999976
EGG,"EGG,WHL,CKD,POACHED",422,0.769999981
EGG,"EGG,WHL,CKD,SCRMBLD",352,1.730000019
EGG,"EGG,WHOLE,DRIED",1715,3.079999924
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",2017,0
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",0,4.170000076
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",0,4.46999979
EGG,"EGG,YOLK,DRIED",2335,3.599999905
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",884,0.930000007
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",852,0.939999998
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",844,0.409999996
EGG,"EGG,TURKEY,WHL,FRSH,RAW",933,0
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",2,3.200000048
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",1,0.639999986
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",572,21.79999924
BUTTER,"BUTTER,WITHOUT SALT",215,0.059999999
CHEESE,"CHEESE,PARMESAN,SHREDDED",72,0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",94,0.50999999
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",85,0
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",64,7.429999828
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",55,0
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",2,5.090000153
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",8,0
MILK,"MILK,CND,EVAP,W/ VIT A",29,0
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",20,51.97999954
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",18,52.18999863
CHEESE,"CHEESE,GOAT,HARD TYPE",105,2.170000076
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",79,2.539999962
CHEESE,"CHEESE,GOAT,SOFT TYPE",46,0.889999986
EGG,"EGG,YOLK,RAW,FRZ,SALTED",955,0
CHEESE SUB,"CHEESE SUB,MOZZARELLA",0,23.67000008
No Category,CHEESE FONDUE,45,0
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",38,0
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",105,4.630000114
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",105,2.869999886
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",105,5.559999943
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",21,0.519999981
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",100,0.49000001
EGG,"EGG,WHOLE,RAW,FROZEN",432,0
EGG,"EGG,WHITE,RAW,FROZEN",0,0
EGG,"EGG,WHITE,DRIED",0,5.400000095
SOUR CREAM,"SOUR CREAM,REDUCED FAT",35,0.300000012
SOUR CREAM,"SOUR CREAM,LIGHT",35,0.219999999
SOUR CREAM,"SOUR CREAM,FAT FREE",9,0.389999986
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",56,0.579999983
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",2,7.5
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",20,1.5
CHEESE,"CHEESE,CREAM,FAT FREE",12,5.480000019
YOGURT,"YOGURT,CHOC,NONFAT MILK",1,14.97000027
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,75,6.699999809
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,35,8.199999809
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,16,6.699999809
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,80,8.100000381
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,42,8.5
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,50,6.400000095
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,9,7.199999809
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),9,17.39999962
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),9,19.60000038
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),9,17.20000076
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),5,7.699999809
CREAM,"CREAM,HALF & HALF,FAT FREE",5,5
No Category,REDDI WIP FAT FREE WHIPPED TOPPING,16,16
MILK,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",8,9.550000191
YOGURT,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",6,2.900000095
CHEESE,"CHEESE,PARMESAN,DRY GRATED,RED FAT",88,0
CREAM SUB,"CREAM SUB,FLAV,LIQ",0,33.04000092
CREAM SUB,"CREAM SUB,FLAV,POWDERED",0,58.00999832
CHEESE,"CHEESE,PROVOLONE,RED FAT",55,0.550000012
CHEESE,"CHEESE,MEXICAN,BLEND,RED FAT",62,0.560000002
EGG MIX,"EGG MIX,USDA CMDTY",1110,2.460000038
ALLSPICE,"ALLSPICE,GROUND",0,0
No Category,ANISE SEED,0,0
SPICES,"SPICES,BASIL,DRIED",0,1.710000038
SPICES,"SPICES,BAY LEAF",0,0
No Category,CARAWAY SEED,0,0.639999986
SPICES,"SPICES,CARDAMOM",0,0
No Category,CELERY SEED,0,0.670000017
CHERVIL,"CHERVIL,DRIED",0,0
No Category,CHILI POWDER,0,7.190000057
CINNAMON,"CINNAMON,GROUND",0,2.170000076
CLOVES,"CLOVES,GROUND",0,2.380000114
CORIANDER LEAF,"CORIANDER LEAF,DRIED",0,7.269999981
No Category,CORIANDER SEED,0,0
No Category,CUMIN SEED,0,2.25
No Category,CURRY POWDER,0,2.75999999
No Category,DILL SEED,0,0
DILL WEED,"DILL WEED,DRIED",0,0
No Category,FENNEL SEED,0,0
No Category,FENUGREEK SEED,0,0
No Category,GARLIC POWDER,0,24.29999924
GINGER,"GINGER,GROUND",0,3.390000105
MACE,"MACE,GROUND",0,0
MARJORAM,"MARJORAM,DRIED",0,4.090000153
MUSTARD SEED,"MUSTARD SEED,YELLOW",0,6.789999962
NUTMEG,"NUTMEG,GROUND",0,28.48999977
No Category,ONION POWDER,0,35.47999954
SPICES,"SPICES,OREGANO,DRIED",0,4.090000153
No Category,PAPRIKA,0,10.34000015
PARSLEY,"PARSLEY,DRIED",0,7.269999981
PEPPER,"PEPPER,BLACK",0,0.639999986
PEPPER,"PEPPER,RED OR CAYENNE",0,10.34000015
PEPPER,"PEPPER,WHITE",0,0
No Category,POPPY SEED,0,2.99000001
No Category,POULTRY SEASONING,0,3.079999924
No Category,PUMPKIN PIE SPICE,0,7.760000229
ROSEMARY,"ROSEMARY,DRIED",0,0
No Category,SAFFRON,0,0
SAGE,"SAGE,GROUND",0,1.710000038
SAVORY,"SAVORY,GROUND",0,0
SPICES,"SPICES,TARRAGON,DRIED",0,0
SPICES,"SPICES,THYME,DRIED",0,1.710000038
TURMERIC,"TURMERIC,GROUND",0,3.210000038
BASIL,"BASIL,FRESH",0,0.300000012
DILL WEED,"DILL WEED,FRSH",0,0
MUSTARD,"MUSTARD,PREPARED,YELLOW",0,0.860000014
SALT,"SALT,TABLE",0,0
VINEGAR,"VINEGAR,CIDER",0,0.400000006
THYME,"THYME,FRSH",0,0
No Category,VANILLA EXTRACT,0,12.64999962
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,ALCOHOL",0,0
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,NO ALCOHOL",0,14.39999962
VINEGAR,"VINEGAR,DISTILLED",0,0.039999999
CAPERS,"CAPERS,CANNED",0,0.409999996
HORSERADISH,"HORSERADISH,PREPARED",0,7.989999771
ROSEMARY,"ROSEMARY,FRESH",0,0
PEPPERMINT,"PEPPERMINT,FRESH",0,0
SPEARMINT,"SPEARMINT,FRESH",0,0
SPEARMINT,"SPEARMINT,DRIED",0,0
VINEGAR,"VINEGAR,RED WINE",0,0
VINEGAR,"VINEGAR,BALSAMIC",0,14.94999981
CAMPBELL SOUP CO,"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",0,18.76000023
BABYFOOD,"BABYFOOD,MEAT,BF,STR",51,0
BABYFOOD,"BABYFOOD,MEAT,BF,STR",51,0
BABYFOOD,"BABYFOOD,MEAT,VEAL,STR",33,0
BABYFOOD,"BABYFOOD,MEAT,PORK,STR",48,0
BABYFOOD,"BABYFOOD,MEAT,HAM,STR",24,0
BABYFOOD,"BABYFOOD,MEAT,HAM,JUNIOR",29,0
BABYFOOD,"BABYFOOD,MEAT,LAMB,STR",36,0
BABYFOOD,"BABYFOOD,MEAT,LAMB,JUNIOR",38,0
BABYFOOD,"BABYFOOD,MEAT,CHICK,STR",61,0
BABYFOOD,"BABYFOOD,MEAT,CHICK,JR",59,0
BABYFOOD,"BABYFOOD,MEAT,CHICK STKS,JR",78,1.399999976
BABYFOOD,"BABYFOOD,MEAT,TURKEY,STR",58,0
BABYFOOD,"BABYFOOD,MEAT,TURKEY,JR",58,0
BABYFOOD,"BABYFOOD,MEAT,TURKEY STKS,JR",65,1.399999976
BABYFOOD,"BABYFOOD,MEAT,MEAT STKS,JR",70,0.800000012
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",0,0
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",0,0
BABYFOOD,"BABYFOOD,DINNER,BF LASAGNA,TODD",0,0
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",7,2.089999914
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",4,2.430000067
BABYFOOD,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",7,0.589999974
BABYFOOD,"BABYFOOD,DINNER,BF NOODLE,STR",8,1.419999957
BABYFOOD,"BABYFOOD,MACARONI&CHS,TODD",7,0.790000021
BABYFOOD,"BABYFOOD,DINNER,BF&RICE,TODD",0,0
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",5,2.720000029
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",0,0
BABYFOOD,"BABYFOOD,DINNER,BF STEW,TODD",13,1.389999986
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,STR",7,2.339999914
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,JR",7,2.339999914
BABYFOOD,"BABYFOOD,DINNER,BF W/VEG",12,2.160000086
BABYFOOD,"BABYFOOD,DINNER,VEG&BACON,STR",4,1.769999981
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,STR",5,1.370000005
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,JR",3,0.99000001
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,STR",6,0.939999998
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,JR",5,0.939999998
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,STR",16,2.5
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,JR",9,1.070000052
BABYFOOD,"BABYFOOD,DINNER,CHICK SOUP,STR",4,1.720000029
BABYFOOD,"BABYFOOD,DINNER,CHICK STEW,TODD",29,1.679999948
BABYFOOD,"BABYFOOD,DINNER,VEG CHICK,STR",11,1.580000043
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",0,0
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",0,0
BABYFOOD,"BABYFOOD,DINNER,PASTA W/VEG",5,1.200000048
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",0,0
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",0,0
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,STR",5,1.659999967
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,JR",4,1.25
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,STR",4,1.539999962
